name,brand,model,price,stock,Operating System Version,Display Resolution Type,Processor Speed,Operating System,RAM Size,Storage Type,Internal Memory,Graphics Memory Name,Screen Size,Display Resolution,Colour Name,Processor Type,Laptop Type,Processor Version Number/Generation,Graphics Memory Version,Number of Cores,RAM Type,Processor Brand,External Graphics,Keyboard Language,Model Number,Model Name,HDMI Output,Number of USB Ports,SD Card Slot,Number of HDMI Ports,Processor Version,link,SIM Type,Connection Type,Laptop Weight,Battery Size,Product Weight,Display Type,Version,Primary Camera Resolution,What's In The Box,Camera Type,Wireless,Audio Jack,Battery Type,Screen Features,Refresh Rates,Monitor response time,Usage Type,Average Battery Life,Product Length,Product Height,Product Width/Depth,Features,Pixels Per Inch,Graphic Memory,Adobe Flash Compatible,HDD Rotation,Operating System Number,Style,Number of Channels
15s-fq4047ne Laptop With 15.6-inch Display Core i5-1155G7 / 8GB RAM / 512GB SSD / Intel Iris Xe Graphics / Windows 11 English/Arabic Silver,HP, 15s-fq4047ne,EGP 19999.00 (Inclusive of VAT),N/A,Windows 11 Home,Full HD,4.5 GHz,Windows,8 GB,SSD,512 GB,Intel Iris/Iris Plus Graphics,15.6 in,1080x1920,Silver,Core i5,Notebook,11th Gen,Intel Iris X Graphics,Quad Core,DDR4,Intel,Integrated,English/Arabic,15s-fq4047ne,15s-fq4047ne / 8G1A5EA,Yes,3,no,1,Core i5-1155G7,https://www.noon.com/egypt-en/15s-fq4047ne-laptop-with-15-6-inch-display-core-i5-1155g7-8gb-ram-512gb-ssd-intel-iris-xe-graphics-windows-11-english-arabic-silver/N70017258V/p/?o=ef05ba5b15dd5e7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Modern 14 B11M Laptop With 14-Inch Display, Core I7 -1195G7/8Gb Ram/512Gb Ssd/Intel Iris Xe Graphics/Windows 11/ Home English Carbon Gray",MSI, 9S7-14D214-404 / 9S7-14D224-802,EGP 22999.00 Inclusive of VAT,N/A,Windows 11,Full HD,2.8 GHz,Windows,8 GB,SSD,512 GB,Intel,14 in,1920x1080,Carbon Gray,Core i7,Notebook,11th Gen,Intel Iris Xe Graphics,Quad Core,DDR4,Intel,Integrated,English,9S7-14D214-404 / 9S7-14D224-802,Modern 14 B11M,Yes,3,Yes,1,Core i7,https://www.noon.com/egypt-en/modern-14-b11m-laptop-with-14-inch-display-core-i7-1195g7-8gb-ram-512gb-ssd-intel-iris-xe-graphics-windows-11-home-english-carbon-gray/N46544787A/p/?o=d33b3e96ec79ccda,No SIM Card,Wifi,1 - 1.4 Kg,4630 mAh,1.3 KG,IPS,International Version,720 px,"Laptop,Charger And User Manual",Primary Camera,Bluetooth,3.5 mm,Lithium Ion,Eco-Friendly,60Hz,2 to 3 ms,Business,8 Hours,31.9 cm,21.9 cm,1.69 cm,"Business, Intel, Travel, Personal, USB",157,,,,,,
15s-eq1001ne with 15.6 inch AMD Ryzen 3-3250U / 4GB RAM / 256GB SSD / AMD Radeon Integrated Graphics / Windows 11 English/Arabic Black,HP, 15s-eq1001ne,EGP 11999.00 (Inclusive of VAT),N/A,Windows 11,HD,2.6 GHz,Windows,4 GB,SSD,256 GB,,15.6 in,1366x768,Black,Ryzen 3,Notebook,3rd Gen,AMD Radeon,Octa Core,DDR4,AMD,Graphic Card,English/Arabic,15s-eq1001ne,15s-eq1001ne / 155N7EA,1,3,1,1,Ryzen 3 3250U,https://www.noon.com/egypt-en/15s-eq1001ne-with-15-6-inch-amd-ryzen-3-3250u-4gb-ram-256gb-ssd-amd-radeon-integrated-graphics-windows-11-english-arabic-black/N53408479A/p/?o=e25ce6788ca4ea9f,,,,,,LED,,720 px,,Primary Camera,Wireless,,Lithium Ion,,,,Personal,7 Hours,,,,,,None None,,,,,
IdeaPad Gaming 3 Laptop With 15.6-inch Display Core i7-12650H / 16GB Ram / 512GB SSD / 4 GB NVIDIA GeForce RTX 3050 / Windows 11 English/Arabic Grey,Lenovo, 82S900YSED,EGP 45600.00 (Inclusive of VAT),N/A,Windows 11,Full HD,2.3 GHz,Windows,16 GB,SSD,512 GB,,15.6 in,1920x1080,Grey,Core i7,Notebook,12th Gen,NVIDIA GeForce RTX 3050,10-Core,DDR4,Intel,Graphic Card,English/Arabic,82S900YSED,Idea Pad Gaming 3 15IAH7,1,3,no,1,i7-12650H,https://www.noon.com/egypt-en/ideapad-gaming-3-laptop-with-15-6-inch-display-core-i7-12650h-16gb-ram-512gb-ssd-4-gb-nvidia-geforce-rtx-3050-windows-11-english-arabic-grey/N53416089A/p/?o=c484187037f3a7cf,,,,3910 mAh,,IPS,,720 px,,Primary Camera,Wireless,,Lithium Polymer,Anti Glare,,,Gaming,5 Hours,,,,,,4 GB,,,,,
15-eh3000ne Laptop With 15.6 inch AMD Ryzen 7-7730U / 16GB RAM / 512GB SSD / AMD Radeon Integrated Graphics / Windows 11 English/Arabic Silver,HP, 15-eh3000ne,EGP 23999.00 (Inclusive of VAT),N/A,Windows 11 Home,Full HD,4.5 GHz,Windows,16 GB,SSD,512 GB,AMD Radeon Pro,15.6 in,1080x1920,Silver,Ryzen 7,Notebook,7th Gen,AMD Radeon Graphics,Octa Core,DDR4,AMD,Integrated,English/Arabic,15-eh3000ne,15-eh3000ne /822S5EA,Yes,3,no,1,Ryzen 7 7730U,https://www.noon.com/egypt-en/15-eh3000ne-laptop-with-15-6-inch-amd-ryzen-7-7730u-16gb-ram-512gb-ssd-amd-radeon-integrated-graphics-windows-11-english-arabic-silver/N70017343V/p/?o=f9964f5d5a73ad1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop 15s-fq5043ne With With 15.6 Inch Core i7-1255U / 8GB RAM / 512GB SSD / Intel Iris Xe Graphic Card / Windows 11 English/Arabic Silver,HP, 15s-fq5043ne,EGP 24999.00 (Inclusive of VAT),N/A,Windows 11,Full HD,3.5 GHz,Windows,8 GB,SSD,512 GB,Intel Xe Graphics,15.6 in,1920x1080,Silver,Core i7,Notebook,12th Gen,Intel Iris XE Graphics,Deca core,SDRAM,Intel,Integrated,English/Arabic,15s-fq5043ne,HP Laptop / 6L8K3EA,Yes,3,Yes,1,Core i7-1255u,https://www.noon.com/egypt-en/laptop-15s-fq5043ne-with-with-15-6-inch-core-i7-1255u-8gb-ram-512gb-ssd-intel-iris-xe-graphic-card-windows-11-english-arabic-silver/N70017273V/p/?o=d0e990e818ddbb4b,,,1.5 - 1.9 Kg,,1.69 KG,,,720 px,,Primary Camera,4G/3G/Wireless/Bluetooth,No Audio Jack,Lithium Ion,,,,Multimedia & Designing,7 Hours,,,,,,None None,Yes,,,,
A3,Acer, NX-HS5EM-01D / NX-HS5EM-01K,EGP 9499.00 (Inclusive of VAT),N/A,Free DOS,Full HD,1.2 GHz,DOS,4 GB,HDD,1 TB,,15.6 in,1080x1920,Shale Black,Intel Core i3,Notebook,10th Gen,intel UHD,Dual Core,DDR4,Intel,Integrated,English/Arabic,NX-HS5EM-01D / NX-HS5EM-01K,A3- A315-56-38U6 / A3 – A315-56-35TF/ Aspire 3 A315-56-35TF,Yes,3,no,1,Core i5-1035G1,https://www.noon.com/egypt-en/a3-a315-56-35tf-laptop-with-15-6-inch-display-core-i3-1005g1-processor-4gb-ram-1tb-hdd-intel-uhd-graphics-dos-english-arabic-shale-black/N53353317A/p/?o=b3d8748b316dd81e,,,,,,LCD,,,,,,,,,,,,,,,,,,,,,,,
Inspiron 3520 Laptop With 15.6 inch LED Core i5-1235U / 8GB Ram / 256GB SSD / Intel UHD Graphics Windows 11 English/Arabic Carbon Black,DELL, 3520-INS-E008-BLK,EGP 22999.00 (Inclusive of VAT),N/A,Windows 11 Home,Full HD,4.4 GHz,Windows,8 GB,SSD,256 GB,Intel UHD Graphics,15.6 in,1080x1920,Carbon Black,Core i5,Notebook,12th Gen,Intel UHD Graphics,10-Core,DDR4,Intel,Graphic Card,English/Arabic,3520-INS-E008-BLK,Inspiron 15 Laptop,1,3,1,1,Core i5-1235u,https://www.noon.com/egypt-en/inspiron-3520-laptop-with-15-6-inch-led-core-i5-1235u-8gb-ram-256gb-ssd-intel-uhd-graphics-windows-11-english-arabic-carbon-black/N70015609V/p/?o=b6f36f73609f829a,,,,,,LED,,720 px,,Primary Camera,,,Lithium Ion,Anti Glare,,,Personal,,,,,,,None None,,,,,
15s-eq1002ne with 15.6 inch AMD Ryzen 3-3250U / 4GB RAM / 256GB SSD / AMD Radeon Integrated Graphics / Windows 11 English/Arabic silver,HP, eq1002ne,EGP 11999.00 (Inclusive of VAT),N/A,Windows 11,,2.6 GHz,Windows,4 GB,SSD,256 GB,,15.6 in,1080x1920,silver,Ryzen 3,Notebook,AMD Ryzen 3-3250U,,Dual Core,DDR4,AMD,Integrated,English/Arabic,eq1002ne,155N9EA,USB,4,,,Ryzen 3 3250U,https://www.noon.com/egypt-en/15s-eq1002ne-with-15-6-inch-amd-ryzen-3-3250u-4gb-ram-256gb-ssd-amd-radeon-integrated-graphics-windows-11-english-arabic-silver/N53399004A/p/?o=b5cc907fc1fc34ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-eh3001ne Laptop With 15.6-inch AMD Ryzen 7-7730U / 16GB RAM / 512GB SSD / AMD Radeon Integrated Graphics / Windows 11 English/Arabic Fog Blue,HP, 15-eh3001ne,EGP 23999.00 (Inclusive of VAT),N/A,Windows 11 Home,Full HD,4.5 GHz,Windows,16 GB,SSD,512 GB,Integrated Graphics,15.6 in,1080x1920,Fog Blue,Ryzen 7,Notebook,Ryzen 7-7730U,AMD Radeon Graphics,Octa Core,DDR4,AMD,Integrated,English/Arabic,15-eh3001ne,15-eh3001ne / 822S6EA,Yes,3,no,1,Ryzen 7 7730U,https://www.noon.com/egypt-en/15-eh3001ne-laptop-with-15-6-inch-amd-ryzen-7-7730u-16gb-ram-512gb-ssd-amd-radeon-integrated-graphics-windows-11-english-arabic-fog-blue/N70017163V/p/?o=eeb504568e5cbdad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
